Cost Center,Program Code,Grant,Budget,Big Bet,Priority Place,Country,,
CC505 Oceans Core,PRGMCORE Program Core,GR000001.02 Goal Core Allocation - Unrestricted,"322,087.12 ",Landscape,,,,
CC505 Oceans Core,PRGMCORE Program Core,GR000001.02 Goal Core Allocation - Unrestricted,"106,949.18 ",Private Sector ,,,,
CC505 Oceans Core,PRGMCORE Program Core,GR000001.02 Goal Core Allocation - Unrestricted,"75,594.95 ",Finance,,,,
CC505 Oceans Core,PRGMCORE Program Core,GR000001.02 Goal Core Allocation - Unrestricted,"43,855.81 ",Other,,,,
CC505 Oceans Core,PRGMCORE Program Core,GR011517.01 RCCL Ph 2 - Philanthropy - 505,"6,379.01 ",Other,,,,
CC505 Oceans Core,9L080309 Seafood Markets,GR000011.02 Restricted Coverage Identified,"2,883.30 ",Private Sector ,,,,
CC505 Oceans Core,PRGMCORE Program Core,GR000001.02 Goal Core Allocation - Unrestricted,"2,780.52 ",Infrastructure,,,,
CC506 Oceans Science,ID020203 Coastal Ecosystem Conserved Areas,GR000011.01 Uncovered Salaries and Expenses,"728,131.13 ",Landscape,,,,
CC506 Oceans Science,51300001 Seascapes,GR000011.01 Uncovered Salaries and Expenses,"160,177.13 ",Landscape,"Eastern Pacific,SW Pacific + Indonesia, SWIO",,,
CC506 Oceans Science,51300001 Seascapes,GR000011.02 Restricted Coverage Identified,"138,562.64 ",Landscape,"Eastern Pacific,SW Pacific + Indonesia, SWIO",,,
CC506 Oceans Science,ID020203 Coastal Ecosystem Conserved Areas,GR000011.02 Restricted Coverage Identified,"138,547.23 ",Landscape,,,,
CC506 Oceans Science,ID020203 Coastal Ecosystem Conserved Areas,GR011419.01 Sall - Chilean Seascapes - 506,"68,575.53 ",Landscape,Eastern Pacific,Chile,,
CC506 Oceans Science,51300001 Seascapes,GR011419.01 Sall - Chilean Seascapes - 506,"26,498.06 ",Landscape,Eastern Pacific,Chile,,
CC506 Oceans Science,ID020203 Coastal Ecosystem Conserved Areas,GR012909.01 GoNaturePositive - 506,"17,204.95 ",Landscape,,,,
CC506 Oceans Science,ID020203 Coastal Ecosystem Conserved Areas,GR012362.02 Climate and Blue Foods Security CC506,"11,399.72 ",Landscape,,,,
CC506 Oceans Science,41200001 Program Operations,GR011419.01 Sall - Chilean Seascapes - 506,"5,620.58 ",Landscape,Eastern Pacific,Chile,,
CC506 Oceans Science,ID020203 Coastal Ecosystem Conserved Areas,GR010623.02 Coral Reef Rescue,"2,800,000.00 ",Resilience,Indonesia and Southern Pacific Islands,,,
CC507 Arctic,US204800 Arctic Policy,GR000011.01 Uncovered Salaries and Expenses,"190,185.36 ",Other,Arctic ,,,
CC507 Arctic,9Z127800 Arctic Program Management,GR000011.01 Uncovered Salaries and Expenses,"656,468.34 ",Landscape,Arctic ,,,
CC507 Arctic,9Z127800 Arctic Program Management,GR011654.01 Pacific Life - Wildlife Safety in Shipping in the Bering Strait - 507,"39,105.00 ",Landscape,Arctic ,,,
CC507 Arctic,9Z127850 Arctic Area-Based Conservation,GR011517.03 RCCL Ph 2 - Philanthropy - 507 - 15.5%,"34,740.26 ",Landscape,Arctic ,,,
CC507 Arctic,9Z127840 Polar Bear Project,GR000011.01 Uncovered Salaries and Expenses,"25,457.85 ",Landscape,Arctic ,,,
CC507 Arctic,9Z127800 Arctic Program Management,GR000001.01 Program Unrestricted - cc000,"213,080.42 ",Other,Arctic ,,,
CC507 Arctic,9Z127808 Arctic shipping,GR000920.01 Arctic Bucket - 507 - 15.5%,"23,399.31 ",Other,Arctic ,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR000011.01 Uncovered Salaries and Expenses,"1,277,078.36 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR000011.02 Restricted Coverage Identified,"207,827.81 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR012856.01 Grantham Environ. Trust - Protecting Ocean Fisheries - CC508,"201,450.21 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR012362.01 Climate and Blue Foods Security CC508,"42,771.18 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR003939.01 RCCL ROYALTIES - 505,"30,000.00 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR011810.01 Walton SIMP/IUU Renewal III CC508,"22,043.19 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR011505.02 RCCL - Ph2 - Transformation (Earthrise) - 508,"20,000.00 ",Resilience,,,,
CC508 Ocean Futures,9Z127450 Sustainable Fisheries General,GR000011.02 Restricted Coverage Identified,"8,179.84 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR011632.01 Bloomberg O5 Fiji Fisheries - 509,"7,449.78 ",Resilience,,,,
CC508 Ocean Futures,50800001 Ocean Futures,GR012840.01 Weil Legal Innovators Program - CC508,"6,513.16 ",Resilience,,,,
CC508 Ocean Futures,50900000 IUU,GR011810.01 Walton SIMP/IUU Renewal III CC508,"11,156.24 ",Other,,,,
CC509 Ocean Policy,50900000 IUU,GR011874.01 UNFAO -- GCP- Prototype Finance Platform,"41,323.62 ",Other,,,,
CC510 Mangroves,51000000 Mangroves General,GR012843.01 Crankstart Foundation - cc510,"165,103.74 ",Resilience,,,,
CC510 Mangroves,51000000 Mangroves General,GR011967.01 NbS Origination Platform - Oceans Blue Finance - 510,"143,364.69 ",Resilience,,,,
CC510 Mangroves,51000000 Mangroves General,GR011974.01 Curt Bergfors Foundation - Food Planet Prize,"98,364.26 ",Resilience,Indonesia and Southern Pacific Islands,,,
CC510 Mangroves,51000000 Mangroves General,GR000011.01 Uncovered Salaries and Expenses,"66,325.46 ",Resilience,,,,
CC510 Mangroves,51000000 Mangroves General,GR012559.01 Moodys Emerging Markets - Oceans 510,"51,375.00 ",Resilience,,,,
CC510 Mangroves,51000000 Mangroves General,GR000011.02 Restricted Coverage Identified,"39,375.00 ",Resilience,,,,
CC510 Mangroves,BEF00015 Bezos – Mangroves – Other,GR010442.01 Bezos Mangroves - 510,"654,532.31 ",Resilience,"Amazon, SWIO",,,
CC510 Mangroves,BEF00014 Bezos – Mangroves – Comms,GR010442.01 Bezos Mangroves - 510,"26,119.77 ",Resilience,"Amazon, SWIO",,,
CC510 Mangroves,BEF00015 Bezos – Mangroves – Other,GR012692.01 Salesforce c/o Plant for the Planet — Madagascar Mangrove Restoration Project - cc510,"7,850.23 ",Resilience,"Amazon, SWIO",,,
CC510 Mangroves,51000000 Mangroves General,GR012692.01 Salesforce c/o Plant for the Planet — Madagascar Mangrove Restoration Project - cc510,"7,656.81 ",Resilience,SWIO,Madagascar,,
CC510 Mangroves,9L080309 Seafood Markets,GR011967.02 Nbs Origination Platform - Ocean Blue Finance - 485,"24,553.18 ",Resilience,,,,
CC511 Global Priority Species & Other Landscapes,9F071771 African Elephants - Congo,GR011771.07 Bequest - African Elephants and their Habitats - Forest Elephants - cc511 - 15.5%,"300,000.00 ",Landscape,Congo,,,
CC511 Global Priority Species & Other Landscapes,9Z127840 Polar Bear Project,GR012165.01 Polar Bear Co-management and Science Alaska - WWF GE - cc511 - 12.50%,"81,470.06 ",Landscape,Arctic ,,,
CC511 Global Priority Species & Other Landscapes,9Z127840 Polar Bear Project,GR000334.01 Polar Bear Bucket - 511,"70,745.81 ",Landscape,Arctic ,,,
CC511 Global Priority Species & Other Landscapes,9Z127850 Arctic Area-Based Conservation,GR000011.01 Uncovered Salaries and Expenses,"37,272.89 ",Landscape,Arctic ,,,
CC511 Global Priority Species & Other Landscapes,9F074200 African Great Apes,GR000011.01 Uncovered Salaries and Expenses,"18,762.50 ",Landscape,,,,
CC511 Global Priority Species & Other Landscapes,9F071771 African Elephants - Congo,GR011771.01 Protection of wild African elephants and their habitats - cc511 - 15.5%,"15,254.00 ",Landscape,Congo,,,
CC511 Global Priority Species & Other Landscapes,CN085401 Giant Pandas,GR000323.01 Protect Giant Pandas Bucket - 511,"14,467.85 ",Landscape,,China,,
CC511 Global Priority Species & Other Landscapes,9Z127840 Polar Bear Project,GR000011.01 Uncovered Salaries and Expenses,"13,095.25 ",Landscape,Arctic ,,,
CC511 Global Priority Species & Other Landscapes,9Z127840 Polar Bear Project,GR000011.02 Restricted Coverage Identified,"10,642.79 ",Landscape,Arctic ,,,
CC511 Global Priority Species & Other Landscapes,9Z127840 Polar Bear Project,GR000310.01 Help Rescue Species in Peril - 511,"10,000.00 ",Landscape,Arctic ,,,
CC511 Global Priority Species & Other Landscapes,9F071771 African Elephants - Congo,GR000332.06 Protect African Elephants Bucket - 511,"8,565.00 ",Landscape,Congo,,,
CC511 Global Priority Species & Other Landscapes,9F074200 African Great Apes,GR012911.01 ETIC-NPNP Renewal (Phase IV),"6,399.31 ",Landscape,,,,
CC511 Global Priority Species & Other Landscapes,9F074263 Asian Great Apes,GR000011.02 Restricted Coverage Identified,"6,333.60 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC511 Global Priority Species & Other Landscapes,9F071501 African Rhinos,GR000321.05 Protect Rhinos - 511,"6,000.00 ",Landscape,Southern Africa,,,
CC511 Global Priority Species & Other Landscapes,9F071771 African Elephants - Congo,GR000336.01 Protect Elephants - 511,"2,000.00 ",Landscape,Congo,,,
CC511 Global Priority Species & Other Landscapes,MG008800 Madagascar CBC,GR000625.01 Madagascar Lemurs - 511,"1,065.06 ",Landscape,,Madagascar ,,
CC511 Global Priority Species & Other Landscapes,9Z125600 Wildlife Trade & Wildlife Law,GR012785.01 Countering Wildlife Trafficking and Other Natural Resource Crime in Pakistan-HQ-CC511,"7,825.51 ",Resilience,Eastern Himalaya,,,
CC511 Global Priority Species & Other Landscapes,9F074263 Asian Great Apes,GR010335.01 Apes in Kalimantan - 511,"6,962.91 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC511 Global Priority Species & Other Landscapes,45000000 Species General,GR000336.01 Protect Elephants - 511,"842,524.00 ",Landscape,,,,
CC511 Global Priority Species & Other Landscapes,45000000 Species General,GR000011.01 Uncovered Salaries and Expenses,"192,679.90 ",Landscape,,,,
CC511 Global Priority Species & Other Landscapes,9Z127250 Cetacean Bycatch,GR003578.02 Pacific Life - Curb Cetacean Bycatch - 511,"53,802.62 ",Private Sector ,,,,
CC511 Global Priority Species & Other Landscapes,9S073268 Sumatran Rhinos,GR000321.05 Protect Rhinos - 511,"53,135.95 ",Landscape,,,,
CC511 Global Priority Species & Other Landscapes,45000000 Species General,GR000310.01 Help Rescue Species in Peril - 511,"47,290.00 ",Landscape,,,,
CC511 Global Priority Species & Other Landscapes,45000000 Species General,GR000011.02 Restricted Coverage Identified,"4,901.00 ",Landscape,,,,
CC513 Seascapes,51300001 Seascapes,GR012356.02 Mott DREEM Hub - 513 - 2.5%,"961,386.00 ",Landscape,,Tanzania,,
CC513 Seascapes,51300001 Seascapes,GR012638.01 Supporting community leadership in Indonesian MPCAs - cc513,"198,663.90 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC513 Seascapes,51300001 Seascapes,GR000011.01 Uncovered Salaries and Expenses,"192,687.22 ",Landscape,"Eastern Pacific,SW Pacific + Indonesia, SWIO",,,
CC513 Seascapes,51300001 Seascapes,GR000011.02 Restricted Coverage Identified,"75,516.12 ",Landscape,"Eastern Pacific,SW Pacific + Indonesia, SWIO",,,
CC513 Seascapes,51300001 Seascapes,GR012356.01 Mott DREEM Hub - 513,"11,833.68 ",Landscape,,Tanzania,,
CC514 Green Economy & Infrastructure,41000080 GRID Cost Share,GR000011.01 Uncovered Salaries and Expenses,"479,117.58 ",Infrastructure,Amazon,,,
CC514 Green Economy & Infrastructure,41000070 NatCap and Infrastrucuture,GR000011.02 Restricted Coverage Identified,"351,924.84 ",Infrastructure,Amazon,,,
CC514 Green Economy & Infrastructure,41000070 NatCap and Infrastrucuture,GR000420.03 General Forest Bucket - 514 (inactive),"151,252.40 ",Infrastructure,Amazon,,,
CC514 Green Economy & Infrastructure,41000070 NatCap and Infrastrucuture,GR004892.01 Alexander Fund - 410,"65,169.73 ",Infrastructure,Amazon,,,
CC514 Green Economy & Infrastructure,41000070 NatCap and Infrastrucuture,GR013084.01 Moore - Dissemination of Green Road Infrastructure(GRI) - 436 (12.5%),"48,487.20 ",Infrastructure,Amazon,,,
CC514 Green Economy & Infrastructure,41000070 NatCap and Infrastrucuture,GR012287.01 Charles Stewart Mott Foundation - Expanding Renewable Energy in the Amazon (non-Brazil) 2024-2025 - 514,"14,960.23 ",Infrastructure,Amazon,,,
CC514 Green Economy & Infrastructure,41000070 NatCap and Infrastrucuture,GR000011.01 Uncovered Salaries and Expenses,"13,331.20 ",Infrastructure,,,,
CC515 Congo Basin,9F070800 Western Congo Basin Moist Forest Ecoregion,GR010617.02 CBSL Cameroon,"1,650,000.00 ",Landscape,Congo,,,
CC515 Congo Basin,CD000301 CBFP: Salonga,GR000011.01 Uncovered Salaries and Expenses,"177,974.58 ",Landscape,Congo,,,
CC515 Congo Basin,9F070800 Western Congo Basin Moist Forest Ecoregion,GR000011.01 Uncovered Salaries and Expenses,"115,429.66 ",Landscape,Congo,,,
CC515 Congo Basin,CD000301 CBFP: Salonga,GR000093.01 Unrestricted Carryforward,"105,000.00 ",Landscape,Congo,,,
CC515 Congo Basin,9F070800 Western Congo Basin Moist Forest Ecoregion,GR000420.01 General Forest Bucket - 416,"94,702.40 ",Landscape,Congo,,,
CC515 Congo Basin,9F070800 Western Congo Basin Moist Forest Ecoregion,GR012826.01 Advancing High-integrity Landscape Approaches and Strengthening Protected Areas in the Brazilian Amazon - WMT - cc41,"62,503.58 ",Landscape,Congo,,,
CC515 Congo Basin,9F070800 Western Congo Basin Moist Forest Ecoregion,GR007700.11 GEF Fee CC - HQ cc515,"48,750.29 ",Landscape,Congo,,,
CC515 Congo Basin,CD000301 CBFP: Salonga,GR010444.07 Bezos Earth Fund - Coordination - Congo - 515,"24,294.69 ",Landscape,Congo,,,
CC515 Congo Basin,CF000500 Dzanga-Sangha,GR000011.02 Restricted Coverage Identified,"10,227.86 ",Landscape,Congo,,,
CC515 Congo Basin,CF000500 Dzanga-Sangha,GR000011.01 Uncovered Salaries and Expenses,"5,492.74 ",Landscape,Congo,,,
CC515 Congo Basin,CF000500 Dzanga-Sangha,GR000011.03 Institutional Commitments,"3,750.00 ",Landscape,Congo,,,
CC532 KAZA & Southern Africa,9F071772 African Elephants,GR011771.13 Bequest - African Elephants and their Habitats - General - 532 - 15.5%,"150,574.03 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071701 KAZA Elephants and Other Wildlife,GR011771.02 Protection of wild African elephants and their habitats - cc532 - 15.5%,"150,000.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071701 KAZA Elephants and Other Wildlife,GR000011.01 Uncovered Salaries and Expenses,"126,048.44 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071772 African Elephants,GR012844.01 African Elephants - O. Nash - cc532 - 15.5%,"125,547.10 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR012844.01 African Elephants - O. Nash - cc532 - 15.5%,"106,660.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR011771.08 Bequest - African elephants and their Habitats - Connectivity - cc532 - 15.5%,"86,033.77 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9Z210407 e-DNA,GR000342.03 KAZA Elephant Conservation Strategy - Bishop -- 532 -15.5%,"78,000.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071701 KAZA Elephants and Other Wildlife,GR000342.01 KAZA Elephant Conservation Strategy - 532,"72,271.28 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR000011.01 Uncovered Salaries and Expenses,"58,880.70 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071501 African Rhinos,GR000011.01 Uncovered Salaries and Expenses,"34,000.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071701 KAZA Elephants and Other Wildlife,GR000336.02 Protect Elephants Bucket - 532,"24,491.05 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071501 African Rhinos,GR000302.07 Protect African Rhinos - 532 - 15.5%,"24,078.84 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR000011.02 Restricted Coverage Identified,"23,785.96 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR011771.13 Bequest - African Elephants and their Habitats - General - 532 - 15.5%,"21,813.22 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR000011.03 Institutional Commitments,"20,000.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071701 KAZA Elephants and Other Wildlife,GR000011.02 Restricted Coverage Identified,"19,205.27 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR000336.02 Protect Elephants Bucket - 532,"13,785.96 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9Z071705 KAZA Carnivores,GR004343.02 Protecting Large Carnivores in KAZA - HQ - cc532,"13,475.94 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071701 KAZA Elephants and Other Wildlife,GR000332.05 Protect African Elephants Bucket - 532,"13,239.11 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071772 African Elephants,GR000332.05 Protect African Elephants Bucket - 532,"10,000.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071705 Aerial Survey – KAZA Elephants,GR000342.01 KAZA Elephant Conservation Strategy - 532,"9,000.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR000332.05 Protect African Elephants Bucket - 532,"6,892.98 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071706 KAZA Wildlife Connectivity Science,GR000342.01 KAZA Elephant Conservation Strategy - 532,"6,892.98 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071704 KAZA Other,GR000342.03 KAZA Elephant Conservation Strategy - Bishop -- 532 -15.5%,"6,409.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F071707 KAZA Wildlife Connectivity Science – Laptop,GR000342.01 KAZA Elephant Conservation Strategy - 532,"4,500.00 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9Z125600 Wildlife Trade & Wildlife Law,GR000011.01 Uncovered Salaries and Expenses,"20,683.00 ",Resilience,Southern Africa,,,
CC532 KAZA & Southern Africa,9Z125600 Wildlife Trade & Wildlife Law,GR010499.05 INL CWT in Namibia and KAZA - 532 - 13.12%,"1,510.41 ",Resilience,Southern Africa,,,
CC532 KAZA & Southern Africa,9Z210407 e-DNA,GR000011.01 Uncovered Salaries and Expenses,"42,635.95 ",Landscape,Southern Africa,,,
CC532 KAZA & Southern Africa,9F204201 Wildlife Communications,GR011771.13 Bequest - African Elephants and their Habitats - General - 532 - 15.5%,"22,766.13 ",Landscape,,,,
CC532 KAZA & Southern Africa,9F204203 Wildlife Communications - KAZA,GR000336.02 Protect Elephants Bucket - 532,"15,000.00 ",Landscape,,,,
CC532 KAZA & Southern Africa,9F204206 Wildlife Communications - Wildlife Tech,GR011771.13 Bequest - African Elephants and their Habitats - General - 532 - 15.5%,"11,350.90 ",Resilience,,,,
CC532 KAZA & Southern Africa,9Z210407 e-DNA,GR012413.02 Peach - Wildlife Habitat and preservation - 532 - 0%,"10,000.00 ",Landscape,Southern Africa,,,
CC533 Namibia,Program (Uncategorized),GR000342.04 KAZA Elephant Conservation Strategy - Khaudum water points - 533 - 15.5%," 72,999.71 ",Landscape,Southern Africa,,,
CC533 Namibia,9F071701 KAZA Elephants and Other Wildlife,GR000342.02 KAZA Elephant Conservation Strategy - 533," 30,000.00 ",Landscape,Southern Africa,Namibia,,
CC533 Namibia,NA000100 Namibia CBNRM,GR000302.08 Black Rhino Campaign - African Rhino Bucket - 533 - 15.5%," 157,943.54 ",,,,,
"CC534 Program Operations: Marine, Policy, Food",41200001 Program Operations,GR000001.01 Program Unrestricted - cc000,"1,668,623.77 ",Other,,,,
"CC534 Program Operations: Marine, Policy, Food",BEF00009 Bezos – Coordination,GR010444.02 Bezos Earth Fund Program Ops - 534,"47,825.14 ",Other,,,,
"CC534 Program Operations: Marine, Policy, Food",41200001 Program Operations,GR000011.02 Restricted Coverage Identified,"3,124.52 ",Other,,,,
"CC536 Program Operations: Forest, Freshwater and Wildlife",53600000 ESP Program Administration,GR000001.01 Program Unrestricted - cc000,"1,153,951.93 ",Other,,,,
"CC536 Program Operations: Forest, Freshwater and Wildlife",41000080 GRID Cost Share,GR000011.01 Uncovered Salaries and Expenses,"48,405.94 ",Other,,,,
"CC536 Program Operations: Forest, Freshwater and Wildlife",41000070 NatCap and Infrastrucuture,GR000011.02 Restricted Coverage Identified,"12,541.19 ",Other,,,,
CC537 PANORAMA Management,WPAN0080 Workday annual software fees,GR000001.01 Program Unrestricted - cc000,"316,000.00 ",Other,,,,
CC537 PANORAMA Management,APAN0080 Adaptive annual software fees,GR000001.01 Program Unrestricted - cc000,"192,474.00 ",Other,,,,
CC537 PANORAMA Management,SPAN0080 Smart Simple annual software fees,GR000001.01 Program Unrestricted - cc000,"165,000.00 ",Other,,,,
CC538 Outgoing Agreements Team,40000000 Program Management - General,GR000001.01 Program Unrestricted - cc000,"736,856.16 ",Other,,,,
CC558 Wildlife & Climate Resilience,9F075200 Climate Crowd,GR010994.03 Climate Crowd Multi-Donor - 558,"202,068.13 ",Resilience,,,,
CC558 Wildlife & Climate Resilience,9F075100 Wildlife Adaptation Innovation Fund,GR000406.11 Wildlife Adaptation Innovation Fund- 558,"184,967.26 ",Resilience,,,,
CC558 Wildlife & Climate Resilience,9F075000 Wildlife & Climate,GR000336.12 Protect Elephants - Climate Adaptation & Resilience -558 - 15.5%,"88,555.01 ",Resilience,,,,
CC558 Wildlife & Climate Resilience,9F075100 Wildlife Adaptation Innovation Fund,GR013341.01 DAF - Climate Crowd and Wildlife Adaptation Bucket - 558,"38,961.03 ",Resilience,,,,
CC558 Wildlife & Climate Resilience,9F075200 Climate Crowd,GR000011.01 Uncovered Salaries and Expenses,"21,568.36 ",Resilience,,,,
CC558 Wildlife & Climate Resilience,9F075000 Wildlife & Climate,GR012413.03 Peach - Wildlife Habitat & Preservation - 558 - 0%,"18,910.51 ",Resilience,,,,
CC558 Wildlife & Climate Resilience,9F072003 African NBT Covid-19 Platform Monitoring and Evaluation,GR010484.01 Collaborative platform for African nature-based tourism - 558,"58,224.57 ",Other,,,,
CC558 Wildlife & Climate Resilience,9F072001 African NBT Covid-19 Platform Data Clearinghouse,GR010484.01 Collaborative platform for African nature-based tourism - 558,"18,666.02 ",Other,,,,
CC558 Wildlife & Climate Resilience,9F072000 African NBT Covid-19 Platform,GR010484.01 Collaborative platform for African nature-based tourism - 558,"1,208.33 ",Other,,,,
CC580 EH Bhutan Program Office,BT205500 Advancing OECM Implementation in Bhutan,GR011768.08 WWF Bhutan OECM Capacity Building - 580," 10,902.00 ",,,,,
CC581 EH Nepal Program Office,NP214700 Promote Nature Based Solutions (NBSs) for building resilience of vulnerable communities and ecosystems,GR010621.01 Managing Watersheds for Enhanced Resilience of Communities to Climate Change," 1,297,101.79 ",,,,,
CC581 EH Nepal Program Office,NP215000 Build capacity and facilitate international discourse and Nepal's committement on climate and nature,GR011163.02 Nepal CBIT," 475,096.00 ",,,,,
CC581 EH Nepal Program Office,NP211900 Wildlife Habitat Management and Corridor Use,GR007700.12 WWF Nepal GEF Agency CC581," 45,589.49 ",,,,,
CC582 PAPUA,ID019300 Forest Conservation in Papua-Indonesia,GR012072.01 Conserving Papua Forest -WWF-US - MACP 582 - 15%,"58,742.23 ",Landscape,Indonesia and Southern Pacific Islands,,,
CC594 Northern Great Plains,US088501 NGP Assets - 2014 Toyota RAV4,GR000925.02 Northern Great Plains Bucket - 594 15.5%,"4,057.80 ",Other,Great Plains ,,,
CC594 Northern Great Plains,US088502 NGP Assets - 2015 Subaru Crosstrek,GR000925.02 Northern Great Plains Bucket - 594 15.5%,"3,657.80 ",Other,Great Plains ,,,
CC594 Northern Great Plains,US088500 NGP Assets - 2016 Mazda CX-5,GR000925.02 Northern Great Plains Bucket - 594 15.5%,"3,066.67 ",Other,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,"GR012292.04 Walmart - LAMP 2, NGP - 595 15%","706,245.68 ",Landscape,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,GR012669.02 AMB - RSVP Project - 595 15.5%,"145,133.66 ",Resilience,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,GR000011.02 Restricted Coverage Identified,"119,347.51 ",Landscape,Great Plains ,,,
CC595 GP - Science,"US088323 Science (NFWF, Plowprint 2023 - Match)",GR000011.02 Restricted Coverage Identified,"47,490.12 ",Resilience,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,"GR011908.08 NFWF, Plowprint 2023 - 595 (Bezos)","39,972.67 ",Resilience,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,"GR012752.06 MACP - NGP Grassland Communities, Phase 5 - 595 15%","23,110.00 ",Resilience,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,GR013277.03 Mars - GP Grasslands - 595 15.5%,"17,902.37 ",Resilience,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,GR010533.03 Toyota - Wolakota General - 595 15.5%,"17,193.00 ",Landscape,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,"GR010916.02 NSF TCUP, Aaniiih Nakoda College - 595","10,328.29 ",Landscape,Great Plains ,,,
CC595 GP - Science,US595001 GP - Science General,"GR012441.04 Swedish, Bison Restoration - 595 15.5%","9,400.00 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596001 GP - Wildlife General,GR000011.02 Restricted Coverage Identified,"366,228.55 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596100 GP - Bison Restoration with Native Nations,"GR012441.02 Swedish, Bison Restoration - 596 15.5%","260,673.48 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596100 GP - Bison Restoration with Native Nations,"GR012752.02 MACP - NGP Grassland Communities, Phase 5 - 596 15%","210,011.22 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596200 GP - Restoring Black Footed Ferrets,GR000011.02 Restricted Coverage Identified,"184,318.32 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596100 GP - Bison Restoration with Native Nations,"GR012752.04 MACP - NGP Grassland Communities, Phase 5 - 596 10% (Grants Only)","163,970.00 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596100 GP - Bison Restoration with Native Nations,GR004358.13 HD - Sall - Native Nations - DPR - 596,"155,780.00 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596100 GP - Bison Restoration with Native Nations,GR000170.05 Bison Bucket - 596 15.5%,"139,602.00 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596100 GP - Bison Restoration with Native Nations,GR012352.01 2024 FWS Fort Belknap Buffalo Restoration and Grazing System - 596,"131,498.00 ",Landscape,Great Plains ,,,
CC596 GP - Wildlife Initiative,US596100 GP - Bison Restoration with Native Nations,GR011641.02 Stronghold Buffalo Range - 596 15.5%,"129,480.00 ",Landscape,Great Plains ,,,
